动作ID,区域,按钮或控件,触发与前置条件,进行中反馈,成功反馈,错误与恢复,权限或能力边界,可逆与确认,现有实现,差异,验证,原生实现,原生验证边界
ACT13,通讯录,发送好友申请,选择有效对象并填写必要验证信息,按钮加载并防止重复申请,服务端确认后显示申请已发送,重复申请失效对象或限流给出具体可恢复提示,不绕过对方隐私与服务端验证规则,仅已有能力支持时允许取消申请,web/src/components/AddFriendModal.jsx,保留既有请求、错误处理、权限和状态来源；本轮仅调整展示,已核对真实处理函数并保留；构建/单测通过；该业务成功/失败完整链路待专门联测,android/app/src/main/java/com/touliao/app/feature/contacts/AddFriendScreen.kt;ios/Touliao/Features/Contacts/AddFriendView.swift,原处理函数/权限与状态来源保留；构建和既有模型单测见原生报告；真实业务链未验证
ACT14,通讯录,接受好友申请,申请仍有效且属于当前用户,对应行进入处理中,服务端确认后转入已接受并更新联系人,失效或处理失败保留可理解的结果,需申请所有权及真实好友接口,接受后如需解除关系走独立删除流程,web/src/components/ContactList.jsx,保留既有请求、错误处理、权限和状态来源；本轮仅调整展示,好友申请接受调用原 POST 契约已验,android/app/src/main/java/com/touliao/app/feature/contacts/FriendRequestsScreen.kt;ios/Touliao/Features/Contacts/FriendRequestsView.swift,原处理函数/权限与状态来源保留；构建和既有模型单测见原生报告；真实业务链未验证
ACT15,群组,创建群聊,已选成员及群名符合实际规则,显示创建中并保持已选名单,服务端返回真实群后进入群聊,失败保留名单和群名供重试,人数与邀请限制来自实际服务端,成功后退出或解散按角色单独处理,web/src/pages/Home.jsx,保留既有请求、错误处理、权限和状态来源；本轮仅调整展示,群名/成员选择/取消已验；真实建群提交待联测,android/app/src/main/java/com/touliao/app/feature/contacts/CreateGroupScreen.kt;ios/Touliao/Features/Contacts/CreateGroupView.swift,原处理函数/权限与状态来源保留；构建和既有模型单测见原生报告；真实业务链未验证
ACT16,群组,邀请成员,有邀请权限且选人有效,显示邀请处理中,按接口真实结果区分已加入与待确认,逐项展示失败对象并支持可恢复重试,服从群权限和被邀请者验证策略,撤回邀请仅在实际能力支持时提供,web/src/components/GroupInfo.jsx,保留既有请求、错误处理、权限和状态来源；本轮仅调整展示,已核对真实处理函数并保留；构建/单测通过；该业务成功/失败完整链路待专门联测,android/app/src/main/java/com/touliao/app/feature/group/InviteMembersScreen.kt;ios/Touliao/Features/Group/InviteMembersView.swift,原处理函数/权限与状态来源保留；构建和既有模型单测见原生报告；真实业务链未验证
ACT17,群组,发布群公告,群主或获授权管理员编辑有效内容,保存按钮加载,确认后展示新公告及真实发布时间,失败保留编辑内容,服务端再次验证管理员权限,编辑历史与恢复能力以现有实现为准,web/src/components/GroupInfo.jsx,保留既有请求、错误处理、权限和状态来源；本轮仅调整展示,已核对真实处理函数并保留；构建/单测通过；该业务成功/失败完整链路待专门联测,android/app/src/main/java/com/touliao/app/feature/group/GroupInfoScreen.kt;ios/Touliao/Features/Group/GroupInfoView.swift,原处理函数/权限与状态来源保留；构建和既有模型单测见原生报告；真实业务链未验证
ACT18,群组,移除成员,当前角色有权操作指定成员,成员行显示处理中,确认成功后从列表移除并更新人数,无权限或角色变化时刷新并说明,不允许仅通过隐藏按钮代替鉴权,确认显示成员名称且重新邀请不等于撤销,web/src/components/GroupInfo.jsx,保留既有请求、错误处理、权限和状态来源；本轮仅调整展示,已核对真实处理函数并保留；构建/单测通过；该业务成功/失败完整链路待专门联测,android/app/src/main/java/com/touliao/app/feature/group/GroupInfoScreen.kt;ios/Touliao/Features/Group/GroupInfoView.swift,原处理函数/权限与状态来源保留；构建和既有模型单测见原生报告；真实业务链未验证
ACT19,群组,退出群聊,当前为群成员且符合群主处理规则,提交中禁用重复退出,确认后关闭不再可访问的群界面,失败保持成员状态并可重试,群主转让等要求由真实服务端决定,确认说明离群影响且重新加入需正常流程,web/src/components/GroupInfo.jsx,保留既有请求、错误处理、权限和状态来源；本轮仅调整展示,已核对真实处理函数并保留；构建/单测通过；该业务成功/失败完整链路待专门联测,android/app/src/main/java/com/touliao/app/feature/group/GroupInfoScreen.kt;ios/Touliao/Features/Group/GroupInfoView.swift,原处理函数/权限与状态来源保留；构建和既有模型单测见原生报告；真实业务链未验证
ACT20,资料,保存资料,字段有改动且校验通过,保存中保持输入与头像预览,确认后更新资料和相关展示,失败保留编辑内容并定位错误字段,资料字段限制与审核以实际接口为准,可重新编辑但不承诺恢复历史头像,web/src/components/Profile.jsx,保留既有请求、错误处理、权限和状态来源；本轮仅调整展示,已核对真实处理函数并保留；构建/单测通过；该业务成功/失败完整链路待专门联测,android/app/src/main/java/com/touliao/app/feature/profile/ProfileEditScreen.kt;ios/Touliao/Features/Profile/ProfileEditView.swift,原处理函数/权限与状态来源保留；构建和既有模型单测见原生报告；真实业务链未验证
ACT21,设置,切换主题,选择浅色深色或系统选项,即时本地视觉更新,全局组件及弹层主题一致,异常时提供可恢复默认外观,跟随系统仅在平台提供能力时启用,可随时切换且不影响业务数据,web/src/contexts/SettingsContext.jsx,保留既有请求、错误处理、权限和状态来源；本轮仅调整展示,浅色/深色/系统、四配色、放大字体与缩放已验,android/app/src/main/java/com/touliao/app/feature/settings/SettingsScreens.kt;ios/Touliao/Features/Profile/SettingsViews.swift,原处理函数/权限与状态来源保留；构建和既有模型单测见原生报告；真实业务链未验证
ACT22,设置,通知开关,用户更改应用内通知偏好,保存中显示真实状态,设置成功后同步行内说明,保存失败回滚并提示,系统权限被拒绝时提供去设置不得假称已开启,可再次更改,web/src/components/Profile.jsx,保留既有请求、错误处理、权限和状态来源；本轮仅调整展示,通知设置 PUT 契约已验；真实系统推送待联测,android/app/src/main/java/com/touliao/app/feature/settings/SettingsScreens.kt;ios/Touliao/Features/Profile/SettingsViews.swift,原处理函数/权限与状态来源保留；构建和既有模型单测见原生报告；真实业务链未验证
ACT23,安全,下线设备,选择非当前设备并完成实际需要的验证,对应设备显示处理中,服务端确认后移除或显示已下线,失败保留设备并允许重试,必须存在真实会话撤销能力,确认写明设备且重新登录需重新认证,web/src/components/Profile.jsx,现有单设备直接 DELETE；批量下线沿用确认弹窗。本轮不改变安全操作流程。,非当前设备 DELETE 后移除已验（隔离 fixture）,android/app/src/main/java/com/touliao/app/feature/sessions/SessionsScreen.kt;ios/Touliao/Features/Profile/SessionsView.swift,原处理函数/权限与状态来源保留；构建和既有模型单测见原生报告；真实业务链未验证
ACT24,账户,退出登录,用户明确确认退出当前账号,处理中停止重复点击,清理范围按既有逻辑执行并返回登录页,退出失败按实际安全策略说明不假称已完成,不擅自清除其他设备会话或用户文件,再次登录可恢复服务端数据但不承诺未保存草稿,web/src/contexts/AuthContext.jsx,保留既有请求、错误处理、权限和状态来源；本轮仅调整展示,已核对真实处理函数并保留；构建/单测通过；该业务成功/失败完整链路待专门联测,android/app/src/main/java/com/touliao/app/feature/profile/ProfileScreen.kt;ios/Touliao/Features/Profile/ProfileView.swift,原处理函数/权限与状态来源保留；构建和既有模型单测见原生报告；真实业务链未验证
ACT25,文件,上传附件,选择符合实际类型大小数量限制的文件,显示真实进度或不定进度并可取消,上传成功后按既有流程附加或发送,失败保留预览并支持重试,先获得系统文件访问权限且不伪造百分比,完成前可取消且服务端残留清理由既有机制处理,web/src/components/ChatWindow.jsx,保留既有请求、错误处理、权限和状态来源；本轮仅调整展示,拖放、本地上传失败/重试/回显已验；录音权限拒绝已验,android/app/src/main/java/com/touliao/app/feature/chat/ChatScreen.kt;ios/Touliao/Features/Chat/ChatView.swift,原处理函数/权限与状态来源保留；构建和既有模型单测见原生报告；真实业务链未验证
ACT26,文件,下载文件,文件可访问且平台允许保存,显示真实下载进度及取消能力,显示实际保存结果或打开入口,权限不足过期链接或存储不足给出恢复动作,保存路径与权限遵循平台和现有下载实现,取消只停止尚未完成部分不删除已有用户文件,web/src/components/FilePreview.jsx,保留既有请求、错误处理、权限和状态来源；本轮仅调整展示,真实组件文本预览已验；系统保存及全格式下载待原生联测,android/app/src/main/java/com/touliao/app/feature/chat/ChatScreen.kt;ios/Touliao/Features/Chat/ChatView.swift,原处理函数/权限与状态来源保留；构建和既有模型单测见原生报告；真实业务链未验证
ACT27,通话,发起语音或视频,会话可呼叫且必要权限已获得,展示呼出与连接中状态,真实连接建立后开始计时,忙线拒绝离线及权限失败分别提示,只接入既有通话信令不得模拟真人接通,接通前取消接通后挂断,web/src/components/CallModal.jsx,保留既有请求、错误处理、权限和状态来源；本轮仅调整展示,已核对真实处理函数并保留；构建/单测通过；该业务成功/失败完整链路待专门联测,android/app/src/main/java/com/touliao/app/feature/call/CallScreen.kt;ios/Touliao/Features/Call/CallView.swift,原处理函数/权限与状态来源保留；构建和既有模型单测见原生报告；真实业务链未验证
ACT28,通话,接听或拒绝,当前存在有效来电,接听显示连接中或拒绝处理中,接听确认进入通话拒绝确认结束来电,来电失效或连接失败显示真实结束原因,麦克风摄像头权限按实际需要请求,拒绝不可恢复原呼叫但可另行回拨,web/src/components/CallModal.jsx,保留既有请求、错误处理、权限和状态来源；本轮仅调整展示,音视频来电/拒绝信令已验；真实接听媒体连通待联测,android/app/src/main/java/com/touliao/app/feature/call/CallScreen.kt;ios/Touliao/Features/Call/CallView.swift,原处理函数/权限与状态来源保留；构建和既有模型单测见原生报告；真实业务链未验证
ACT29,通话,静音或摄像头开关,处于支持操作的有效通话,控件明确展示切换后本地状态,与真实音视频轨道状态一致,切换失败恢复状态并提示,不得仅切图标而不处理媒体轨道及权限,再次点击恢复且摄像头恢复可能需授权,web/src/components/CallModal.jsx,保留既有请求、错误处理、权限和状态来源；本轮仅调整展示,状态图标已适配；媒体轨道处理不变，真实硬件切换待验证,android/app/src/main/java/com/touliao/app/feature/call/CallScreen.kt;ios/Touliao/Features/Call/CallView.swift,原处理函数/权限与状态来源保留；构建和既有模型单测见原生报告；真实业务链未验证
ACT30,动态,发布动态,内容附件及可见范围符合真实规则,显示发布中并避免重复提交,服务端确认后显示真实动态,失败保留内容与附件供重试,仅在已有动态接口支持时落地且可见范围须真实生效,删除或修改需独立真实能力不承诺自动撤销,web/src/components/Moments.jsx,保留既有请求、错误处理、权限和状态来源；本轮仅调整展示,点赞/评论、可见范围选择和发布草稿取消已验；真实发布待联测,android/app/src/main/java/com/touliao/app/feature/moments/MomentComposeScreen.kt;ios/Touliao/Features/Moments/MomentComposeView.swift,原处理函数/权限与状态来源保留；构建和既有模型单测见原生报告；真实业务链未验证
