id,category,name,variants,states,desktop_size,mobile_size,interaction,accessibility,source_paths,capability_notes,implementation,verification
F04,forms,手机号与验证码,区号 / 手机号 / 获取验证码,区号 / 手机号 / 获取验证码,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/pages/Register.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
F05,forms,验证码分格输入,6 位输入,空白 / 已输入 / 当前焦点,40×48 px / 6 格,40×48 px / 6 格,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,,六格短信验证码不等同已有图形验证码；短信认证待接入。,待分批实施,待验证
F06,forms,多行文本,描述 / 字数上限,描述 / 字数上限,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/ChatWindow.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
F07,forms,输入状态,校验错误 / 禁用 / 只读,校验错误 / 禁用 / 只读,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/pages/Login.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
F08,forms,下拉选择,占位 / 已选择 / 原生键盘操作,占位 / 已选择 / 原生键盘操作,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/Profile.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
F09,forms,复选框,未选 / 已选 / 禁用,未选 / 已选 / 禁用,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/ForwardModal.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
F10,forms,单选框,互斥选择 / 已选 / 未选,互斥选择 / 已选 / 未选,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/Profile.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
F11,forms,开关,Switch,开启 / 关闭 / 禁用,36×22 px,40×24 px；44 px 行,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/Profile.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
F12,forms,分段选择器,单选 / 选中底板,单选 / 选中底板,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/ChatList.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
F13,forms,筛选标签,未选 / 多选 / 可移除,未选 / 多选 / 可移除,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/GlobalSearch.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
F14,forms,滑块与数值调节,连续数值 / 最小最大说明,连续数值 / 最小最大说明,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/VoicePlayer.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
N01,navigation,顶部分页签,选中 / 常规 / 数量,选中 / 常规 / 数量,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/ContactList.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
N02,navigation,桌面导航栏,Rail,应用入口 / 选中 / 新消息,72 px 导航宽度,迁移为底部导航,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/pages/Home.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
N03,navigation,移动端底部导航,4 个主入口,选中 / 未读 / 标签,移动端预览,56 px + 底部安全区,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/pages/Home.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
N04,navigation,面包屑与返回,路径 / 当前页 / 返回,路径 / 当前页 / 返回,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/Profile.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
N05,navigation,设置列表,描述 / 开关 / 箭头 / 危险操作,描述 / 开关 / 箭头 / 危险操作,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/Profile.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
N06,navigation,分页与加载更多,当前页 / 普通页 / 下一页,当前页 / 普通页 / 下一页,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/VirtualMessageList.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
N07,navigation,会话列表单元,选中 / 草稿 / 置顶 / 未读,选中 / 草稿 / 置顶 / 未读,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/ChatList.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
C01,chat,接收文字消息,单聊 / 头像 / 时间,单聊 / 头像 / 时间,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/MessageItem.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
C02,chat,发送文字消息,发送方 / 多行 / 已读,发送方 / 多行 / 已读,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/MessageItem.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
C03,chat,引用回复,来源 / 摘要 / 回复正文,来源 / 摘要 / 回复正文,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/ComposeContextBar.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
C04,chat,语音消息,播放 / 暂停 / 未听,未播放 / 播放中 / 时长,≥160×44 px,≥160×48 px,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/VoicePlayer.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
C05,chat,文件消息,文件类型 / 名称 / 大小 / 下载,文件类型 / 名称 / 大小 / 下载,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/MessageItem.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
C06,chat,图片消息,单图 / 多图 / 查看原图,单图 / 多图 / 查看原图,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/ImagePreview.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
C07,chat,链接预览卡,标题 / 摘要 / 域名,标题 / 摘要 / 域名,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/utils/linkify.jsx,保留安全链接渲染；远程网页元信息卡不假装支持。,待分批实施,待验证
C08,chat,联系人名片,头像 / 昵称 / 账号 / 类型,头像 / 昵称 / 账号 / 类型,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/MessageItem.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
C09,chat,消息时间与系统提示,日期分隔 / 入群通知 / 撤回,日期分隔 / 入群通知 / 撤回,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/MessageItem.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
C10,chat,表情回应,未选 / 已选 / 数量 / 新增,未选 / 已选 / 数量 / 新增,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/MessageItem.jsx,仅使用已有 reaction 事件与接口。,待分批实施,待验证
C11,chat,消息发送状态,发送中 / 已送达 / 已读 / 失败重试,发送中 / 已送达 / 已读 / 失败重试,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/MessageItem.jsx,已读/撤回/编辑只绑定已有协议事件。,待分批实施,待验证
C12,chat,提及与消息定位,@ 成员 / 被提及 / 跳转未读,@ 成员 / 被提及 / 跳转未读,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/MentionList.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
C13,chat,消息输入工具栏,桌面 / 多行输入,工具入口 / 编辑 / 发送,输入区 ≥132 px 高,输入框 ≥44 px 高,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/ChatWindow.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
C14,chat,群公告与置顶消息,公告入口 / 作者 / 查看,公告入口 / 作者 / 查看,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/PinnedBanner.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
C15,chat,正在输入与录音,对方输入中 / 录音 / 取消,对方输入中 / 录音 / 取消,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/ChatWindow.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
S01,feedback,轻提示 Toast,成功 / 信息 / 失败,成功 / 信息 / 失败,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/utils/toast.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
S02,feedback,页面通知横幅,提示 / 警告 / 可关闭,提示 / 警告 / 可关闭,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/UpdateBanner.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
S03,feedback,网络断开与重连,离线 / 正在重连 / 操作,离线 / 正在重连 / 操作,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/ReconnectingBanner.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
S04,feedback,空状态,暂无会话 / 主操作,暂无会话 / 主操作,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/StateViews.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
S05,feedback,搜索无结果与加载失败,无匹配 / 可恢复错误,无匹配 / 可恢复错误,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/StateViews.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
S06,feedback,骨架屏,头像 / 标题 / 内容行,头像 / 标题 / 内容行,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/PanelSkeleton.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
S07,feedback,进度条与后台任务,进行中 / 已完成 / 百分比,进行中 / 已完成 / 百分比,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/UploadProgressBar.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
S08,feedback,上传状态,上传中 / 暂停 / 失败重试,上传中 / 暂停 / 失败重试,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/UploadProgressBar.jsx,保留真实进度/取消/失败；不新增无服务支持的暂停续传。,待分批实施,待验证
S09,feedback,可撤销操作提示,操作完成 / 撤销 / 关闭,操作完成 / 撤销 / 关闭,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,,没有统一业务撤销契约；不添加虚假撤销按钮。,待分批实施,待验证
O01,overlay,确认对话框,危险操作 / 描述 / 取消 / 确认,危险操作 / 描述 / 取消 / 确认,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/utils/toast.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
O02,overlay,移动端底部操作面板,Bottom sheet,把手 / 选项 / 取消,居中对话框替代,底部浮层 + 安全区,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/ChatWindow.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
O03,overlay,消息上下文菜单,常规 / 快捷键 / 危险分组,常规 / 快捷键 / 危险分组,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/ChatWindow.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
O04,overlay,表情选择器,搜索 / 常用 / 分类入口,搜索 / 常用 / 分类入口,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/EmojiPicker.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
O05,overlay,附件功能面板,图片 / 拍摄 / 文件 / 通话,图片 / 拍摄 / 文件 / 通话,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/ChatWindow.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
O06,overlay,成员选择浮层,搜索 / 成员 / 单选操作,搜索 / 成员 / 单选操作,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/ForwardModal.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
M01,media,通话控制按钮,通话中 / 危险结束,麦克风 / 扬声器 / 摄像头 / 挂断,44×44 px,52×52 px,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/CallModal.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
M02,media,来电与通话邀请,邀请中 / 接听 / 拒绝,邀请中 / 接听 / 拒绝,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/CallModal.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
M03,media,视频消息与播放,封面 / 时长 / 播放按钮,封面 / 时长 / 播放按钮,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/VideoPreview.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
M04,media,音视频设备选择,输入 / 输出 / 音量检测,输入 / 输出 / 音量检测,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/hooks/useCallAudioOutput.js;web/src/hooks/useCallAudioLevels.js,保留真实设备支持检测与媒体轨道行为。,待分批实施,待验证
M05,media,文件预览工具栏,缩放 / 下载 / 旋转 / 关闭,缩放 / 下载 / 旋转 / 关闭,按内容 / 40 px 控件,按内容 / ≥44 px 触达,可操作示例；业务提交仅展示反馈,语义化标签；键盘焦点；图标按钮有名称；状态不只依赖颜色,web/src/components/FilePreview.jsx,复用现有行为；样式由设计变量与组件规则适配。,待分批实施,待验证
